,occupation,effectif
0,Mathematics,1617
1,Mathematician,457
2,Physics,99
3,Astronomy,68
4,Computer science,45
5,Physicist,40
6,Astronomer,36
7,Applied mathematics,31
8,Statistics,29
9,Mathematical physics,24
10,Topology,22
11,Geometry,22
12,Logic,21
13,Functional analysis,19
14,Mathematical analysis,19
15,Combinatorics,16
16,Mathematical logic,15
17,Computer Science,15
18,Philosophy,14
19,Algebraic geometry,14
20,Engineering,13
21,Professor,13
22,Economics,13
23,Differential geometry,12
24,Mechanics,12
25,Partial differential equation,12
26,Politician,11
27,Number theory,11
28,Algebra,10
29,Group theory,10
30,Statistician,9
31,Fluid dynamics,9
32,Complex analysis,9
33,Engineer,9
34,Educator,9
35,Cryptography,9
36,Control theory,8
37,Theoretical physics,8
38,Philosopher,8
39,Numerical analysis,8
40,Theoretical computer science,8
41,Probability theory,8
42,Chemistry,7
43,Scientist,7
44,Several complex variables,7
45,Real analysis,7
46,Cryptanalysis,7
47,Computer scientist,7
48,Partial differential equations,7
49,Game theory,7
50,Fluid mechanics,7
51,Probability,7
52,Author,6
53,Information theory,6
54,Calculus of variations,6
55,Biology,6
56,Meteorology,6
57,Applied Mathematics,6
58,Natural philosophy,5
59,Electrical engineering,5
60,Mathematical economics,5
61,Historian,5
62,Mathematical Physics,5
63,Mathematical statistics,5
64,Astrology,5
65,Medicine,5
66,Physician,5
67,History of mathematics,5
68,History of science,5
69,Dynamical systems,5
70,Graph theory,5
71,Linguistics,5
72,Economist,5
73,Natural history,4
74,Bioinformatics,4
75,Inventor,4
76,Differential equation,4
77,Potential theory,4
78,Jesuit,4
79,Model theory,4
80,Coding theory,4
81,Cryptologist,4
82,Fluid Dynamics,4
83,Algebraic number theory,4
84,Queueing theory,4
85,Optimization (mathematics),4
86,Poet,4
87,Operations research,4
88,Cartographer,4
89,Optics,4
90,Teacher,4
91,Astrologer,4
92,Astrophysics,4
93,Cybernetics,4
94,Geophysics,4
95,Geometric measure theory,3
96,Programmer,3
97,Category theory,3
98,Neuroscience,3
99,Graph Theory,3
100,Continuum mechanics,3
101,Nonprofit organization,3
102,Harmonic analysis,3
103,Celestial mechanics,3
104,Set theory,3
105,Number Theory,3
106,Elliptic partial differential equation,3
107,Botanist,3
108,Measure theory,3
109,Architecture,3
