,occupation,effectif,classes
0,Mathematics,1617,
1,Mathematician,457,
2,Physics,99,sci_nat
3,Astronomy,68,sci_nat
4,Computer science,45,ing_info
5,Physicist,40,sci_nat
6,Astronomer,36,sci_nat
7,Applied mathematics,31,math
8,Statistics,29,math
9,Mathematical physics,24,math
10,Topology,22,math
11,Geometry,22,math
12,Logic,21,philo
13,Functional analysis,19,math
14,Mathematical analysis,19,math
15,Combinatorics,16,math
16,Mathematical logic,15,math
17,Computer Science,15,ing_info
18,Philosophy,14,philo
19,Algebraic geometry,14,math
20,Engineering,13,ing_info
21,Professor,13,autre
22,Economics,13,sci_hum
23,Differential geometry,12,math
24,Mechanics,12,sci_nat
25,Partial differential equation,12,math
26,Politician,11,autre
27,Number theory,11,math
28,Algebra,10,math
29,Group theory,10,math
30,Statistician,9,math
31,Fluid dynamics,9,sci_nat
32,Complex analysis,9,math
33,Engineer,9,ing_info
34,Educator,9,autre
35,Cryptography,9,ing_info
36,Control theory,8,ing_info
37,Theoretical physics,8,sci_nat
38,Philosopher,8,philo
39,Numerical analysis,8,math
40,Theoretical computer science,8,ing_info
41,Probability theory,8,math
42,Chemistry,7,sci_nat
43,Scientist,7,none
44,Several complex variables,7,math
45,Real analysis,7,math
46,Cryptanalysis,7,ing_info
47,Computer scientist,7,ing_info
48,Partial differential equations,7,math
49,Game theory,7,math
50,Fluid mechanics,7,sci_nat
51,Probability,7,math
52,Author,6,art
53,Information theory,6,ing_info
54,Calculus of variations,6,math
55,Biology,6,sci_nat
56,Meteorology,6,sci_nat
57,Applied Mathematics,6,math
58,Natural philosophy,5,philo
59,Electrical engineering,5,ing_info
60,Mathematical economics,5,sci_hum
61,Historian,5,sci_hum
62,Mathematical Physics,5,sci_nat
63,Mathematical statistics,5,math
64,Astrology,5,none
65,Medicine,5,sci_nat
66,Physician,5,sci_nat
67,History of mathematics,5,sci_hum
68,History of science,5,sci_hum
69,Dynamical systems,5,sci_nat
70,Graph theory,5,math
71,Linguistics,5,sci_hum
72,Economist,5,sci_hum
73,Natural history,4,sci_hum
74,Bioinformatics,4,none
75,Inventor,4,autre
76,Differential equation,4,math
77,Potential theory,4,math
78,Jesuit,4,theo
79,Model theory,4,math
80,Coding theory,4,ing_info
81,Cryptologist,4,ing_info
