,0
0,autre
1,sci_nat
2,sci_nat
3,autre
4,autre
5,math
6,sci_hum
7,autre
8,sci_nat
9,sci_nat
10,math
11,math
12,math
13,math
14,autre
15,autre
16,math
17,sci_nat
18,autre
19,autre
20,math
21,autre
22,autre
23,sci_nat
24,math
25,sci_nat
26,sci_nat
27,autre
28,math
29,sci_nat
30,autre
31,math
32,sci_nat
33,math
34,autre
35,autre
36,sci_nat
37,phylo
38,math
39,autre
40,sci_nat
41,math
42,autre
43,math
44,math
45,math
46,sci_nat
47,autre
48,math
49,sci_nat
50,autre
51,math
52,math
53,sci_nat
54,math
55,autre
56,sci_nat
57,autre
58,autre
59,autre
60,math
61,ing_info
62,autre
63,autre
64,math
65,autre
66,math
67,sci_nat
68,math
69,sci_nat
70,autre
71,math
72,autre
73,math
74,autre
75,math
76,autre
77,autre
78,autre
79,autre
80,autre
81,math
82,autre
83,autre
84,autre
85,math
86,math
87,sci_hum
88,sci_nat
89,autre
90,sci_nat
91,math
92,sci_nat
93,math
94,math
95,autre
96,sci_nat
97,math
98,math
99,autre
100,math
101,math
102,math
103,sci_nat
104,sci_nat
105,math
106,autre
107,math
108,sci_nat
109,math
110,sci_nat
111,math
112,autre
113,sci_nat
114,autre
115,math
116,sci_nat
117,math
118,autre
119,sci_nat
120,phylo
121,autre
122,sci_nat
123,math
124,sci_nat
125,autre
126,math
127,math
128,sci_nat
129,math
130,sci_nat
131,math
132,sci_nat
133,phylo
134,autre
135,math
136,autre
137,sci_nat
138,autre
139,math
140,math
141,math
142,math
143,sci_hum
144,sci_nat
145,autre
146,sci_nat
147,math
148,autre
149,math
150,sci_nat
151,autre
152,sci_nat
153,math
154,math
155,sci_nat
156,math
157,autre
158,math
159,sci_nat
160,autre
161,autre
162,math
163,sci_nat
164,math
165,autre
166,math
167,sci_nat
168,autre
169,math
170,sci_nat
171,math
172,sci_nat
173,math
174,math
175,sci_nat
176,math
177,sci_nat
178,phylo
179,math
180,autre
181,math
182,phylo
183,math
184,sci_nat
185,math
186,autre
187,autre
188,autre
189,autre
190,math
191,math
192,math
193,autre
194,sci_nat
195,math
196,math
197,phylo
198,math
199,sci_nat
200,autre
201,math
202,math
203,math
204,math
205,math
206,sci_nat
207,sci_nat
208,sci_nat
209,sci_nat
210,math
211,sci_nat
212,math
213,autre
214,autre
215,autre
216,math
217,math
218,math
219,math
220,math
221,math
222,math
223,sci_nat
224,sci_nat
225,math
226,math
227,math
228,math
229,autre
230,ing_info
231,math
232,math
233,autre
234,autre
235,autre
236,autre
237,math
238,autre
239,math
240,sci_nat
241,math
242,sci_nat
243,math
244,autre
245,sci_nat
246,sci_nat
247,autre
248,autre
249,autre
250,math
251,sci_nat
252,autre
253,math
254,math
255,sci_nat
256,sci_nat
257,math
258,autre
259,math
260,sci_nat
261,math
262,sci_nat
263,phylo
264,math
265,sci_nat
266,autre
267,math
268,sci_nat
269,math
270,sci_nat
271,math
272,math
273,math
274,math
275,sci_nat
276,math
277,math
278,sci_nat
279,sci_nat
280,phylo
281,math
282,math
283,math
284,sci_nat
285,autre
286,sci_nat
287,autre
288,math
289,sci_nat
290,sci_nat
291,math
292,sci_nat
293,phylo
294,sci_nat
295,math
296,math
297,autre
298,autre
299,math
300,math
301,autre
302,math
303,autre
304,autre
305,math
306,math
307,autre
308,math
309,autre
310,math
311,autre
312,math
313,math
314,sci_nat
315,math
