,relation,periode,effectif
0,Argentina-Argentina,1451-1800,0
1,Argentina-Argentina,1801-1850,0
2,Argentina-Argentina,1851-1900,0
3,Argentina-Argentina,1901-1950,0
4,Argentina-Argentina,1951-2000,2
5,Argentina-Germany,1451-1800,0
6,Argentina-Germany,1801-1850,0
7,Argentina-Germany,1851-1900,0
8,Argentina-Germany,1901-1950,1
9,Argentina-Germany,1951-2000,0
10,Argentina-Puerto Rico,1451-1800,0
11,Argentina-Puerto Rico,1801-1850,0
12,Argentina-Puerto Rico,1851-1900,0
13,Argentina-Puerto Rico,1901-1950,1
14,Argentina-Puerto Rico,1951-2000,0
15,Argentina-United States of America,1451-1800,0
16,Argentina-United States of America,1801-1850,0
17,Argentina-United States of America,1851-1900,0
18,Argentina-United States of America,1901-1950,3
19,Argentina-United States of America,1951-2000,1
20,Australia-Australia,1451-1800,0
21,Australia-Australia,1801-1850,0
22,Australia-Australia,1851-1900,0
23,Australia-Australia,1901-1950,2
24,Australia-Australia,1951-2000,2
25,Australia-New Zealand,1451-1800,0
26,Australia-New Zealand,1801-1850,0
27,Australia-New Zealand,1851-1900,0
28,Australia-New Zealand,1901-1950,1
29,Australia-New Zealand,1951-2000,0
30,Australia-United Kingdom,1451-1800,0
31,Australia-United Kingdom,1801-1850,0
32,Australia-United Kingdom,1851-1900,0
33,Australia-United Kingdom,1901-1950,8
34,Australia-United Kingdom,1951-2000,2
35,Australia-United States of America,1451-1800,0
36,Australia-United States of America,1801-1850,0
37,Australia-United States of America,1851-1900,0
38,Australia-United States of America,1901-1950,1
39,Australia-United States of America,1951-2000,0
40,Austria-Austria,1451-1800,2
41,Austria-Austria,1801-1850,1
42,Austria-Austria,1851-1900,6
43,Austria-Austria,1901-1950,2
44,Austria-Austria,1951-2000,0
45,Austria-France,1451-1800,0
46,Austria-France,1801-1850,0
47,Austria-France,1851-1900,0
48,Austria-France,1901-1950,0
49,Austria-France,1951-2000,1
50,Austria-Germany,1451-1800,0
51,Austria-Germany,1801-1850,0
52,Austria-Germany,1851-1900,0
53,Austria-Germany,1901-1950,0
54,Austria-Germany,1951-2000,2
55,Austria-Poland,1451-1800,0
56,Austria-Poland,1801-1850,1
57,Austria-Poland,1851-1900,0
58,Austria-Poland,1901-1950,0
59,Austria-Poland,1951-2000,0
60,Austria-United Kingdom,1451-1800,0
61,Austria-United Kingdom,1801-1850,0
62,Austria-United Kingdom,1851-1900,0
63,Austria-United Kingdom,1901-1950,0
64,Austria-United Kingdom,1951-2000,2
65,Austria-United States of America,1451-1800,0
66,Austria-United States of America,1801-1850,0
67,Austria-United States of America,1851-1900,1
68,Austria-United States of America,1901-1950,0
69,Austria-United States of America,1951-2000,0
70,Bangladesh-Canada,1451-1800,0
71,Bangladesh-Canada,1801-1850,0
72,Bangladesh-Canada,1851-1900,0
73,Bangladesh-Canada,1901-1950,3
74,Bangladesh-Canada,1951-2000,0
75,Bangladesh-United States of America,1451-1800,0
76,Bangladesh-United States of America,1801-1850,0
77,Bangladesh-United States of America,1851-1900,0
78,Bangladesh-United States of America,1901-1950,1
79,Bangladesh-United States of America,1951-2000,0
80,Belgium-Belgium,1451-1800,0
81,Belgium-Belgium,1801-1850,0
82,Belgium-Belgium,1851-1900,0
83,Belgium-Belgium,1901-1950,1
84,Belgium-Belgium,1951-2000,0
85,Belgium-Germany,1451-1800,0
86,Belgium-Germany,1801-1850,0
87,Belgium-Germany,1851-1900,0
88,Belgium-Germany,1901-1950,0
89,Belgium-Germany,1951-2000,2
90,Belgium-Iran,1451-1800,0
91,Belgium-Iran,1801-1850,0
92,Belgium-Iran,1851-1900,0
93,Belgium-Iran,1901-1950,1
94,Belgium-Iran,1951-2000,0
95,Belgium-United Kingdom,1451-1800,0
96,Belgium-United Kingdom,1801-1850,0
97,Belgium-United Kingdom,1851-1900,0
98,Belgium-United Kingdom,1901-1950,0
99,Belgium-United Kingdom,1951-2000,1
100,Belgium-United States of America,1451-1800,0
101,Belgium-United States of America,1801-1850,0
102,Belgium-United States of America,1851-1900,0
103,Belgium-United States of America,1901-1950,1
104,Belgium-United States of America,1951-2000,0
105,Brazil-Belgium,1451-1800,0
106,Brazil-Belgium,1801-1850,0
107,Brazil-Belgium,1851-1900,0
108,Brazil-Belgium,1901-1950,0
109,Brazil-Belgium,1951-2000,1
110,Brazil-Brazil,1451-1800,0
111,Brazil-Brazil,1801-1850,0
112,Brazil-Brazil,1851-1900,0
113,Brazil-Brazil,1901-1950,1
114,Brazil-Brazil,1951-2000,0
115,Brazil-Peru,1451-1800,0
116,Brazil-Peru,1801-1850,0
117,Brazil-Peru,1851-1900,0
118,Brazil-Peru,1901-1950,2
