"s","birthDate"
"http://dbpedia.org/resource/Abu_al-Wafa'_Buzjani",0940-06-10
"http://dbpedia.org/resource/Omar_Khayyam",1048-05-18
"http://dbpedia.org/resource/Ibn_al-Banna'_al-Marrakushi",1256-12-30
"http://dbpedia.org/resource/Zhao_Youqin",1271-07-26
"http://dbpedia.org/resource/Ibn_Khaldun",1332-05-27
"http://dbpedia.org/resource/Georg_von_Peuerbach",1423-05-30
"http://dbpedia.org/resource/Antonio_Manetti",1423-07-06
"http://dbpedia.org/resource/Regiomontanus",1436-06-06
"http://dbpedia.org/resource/Nilakantha_Somayaji",1444-06-14
"http://dbpedia.org/resource/Abraham_Zacuto",1452-08-12
"http://dbpedia.org/resource/Scipione_del_Ferro",1465-02-06
"http://dbpedia.org/resource/Nicolaus_Copernicus",1473-02-19
"http://dbpedia.org/resource/Adam_Ries",1492-01-17
"http://dbpedia.org/resource/Oronce_Finé",1494-12-20
"http://dbpedia.org/resource/Erasmus_Reinhold",1511-10-22
"http://dbpedia.org/resource/Georg_Joachim_Rheticus",1514-02-16
"http://dbpedia.org/resource/Jacques_Pelletier_du_Mans",1517-07-25
"http://dbpedia.org/resource/Lodovico_Ferrari",1522-02-02
"http://dbpedia.org/resource/Peter_Agricola",1525-06-29
"http://dbpedia.org/resource/John_Dee",1527-07-13
"http://dbpedia.org/resource/Giambattista_Benedetti",1530-08-14
"http://dbpedia.org/resource/Christopher_Clavius",1538-03-25
"http://dbpedia.org/resource/Ludolph_van_Ceulen",1540-01-28
"http://dbpedia.org/resource/Ostilio_Ricci",1540-09-27
"http://dbpedia.org/resource/Rudolph_Snellius",1546-10-05
"http://dbpedia.org/resource/Baha'_al-din_al-'Amili",1547-02-18
"http://dbpedia.org/resource/John_Napier",1550-02-01
"http://dbpedia.org/resource/Jost_Bürgi",1552-02-28
"http://dbpedia.org/resource/Petrus_Ryff",1552-05-08
"http://dbpedia.org/resource/Henry_Briggs_(mathematician)",1561-02-01
"http://dbpedia.org/resource/Marino_Ghetaldi",1568-10-02
"http://dbpedia.org/resource/Adriaan_Metius",1571-12-09
"http://dbpedia.org/resource/Johannes_Kepler",1571-12-27
"http://dbpedia.org/resource/Robert_Fludd",1574-01-17
"http://dbpedia.org/resource/William_Oughtred",1574-03-05
"http://dbpedia.org/resource/Paul_Guldin",1577-06-12
"http://dbpedia.org/resource/Willebrord_Snellius",1580-06-13
"http://dbpedia.org/resource/Claude_Gaspar_Bachet_de_Méziriac",1581-10-09
"http://dbpedia.org/resource/Mario_Bettinus",1582-02-06
"http://dbpedia.org/resource/Benjamin_Bramer",1588-02-15
"http://dbpedia.org/resource/Ole_Worm",1588-05-13
"http://dbpedia.org/resource/Pierre_Gassendi",1592-01-22
"http://dbpedia.org/resource/René_Descartes",1596-03-31
"http://dbpedia.org/resource/Florimond_de_Beaune",1601-10-07
"http://dbpedia.org/resource/Ovidio_Montalbani",1601-11-18
"http://dbpedia.org/resource/Gilles_de_Roberval",1602-08-10
"http://dbpedia.org/resource/Placidus_de_Titis",1603-12-25
"http://dbpedia.org/resource/Ismaël_Bullialdus",1605-09-28
"http://dbpedia.org/resource/Vincentio_Reinieri",1606-03-30
"http://dbpedia.org/resource/Juan_Caramuel_y_Lobkowitz",1606-05-23
"http://dbpedia.org/resource/Pierre_de_Fermat",1607-12-06
"http://dbpedia.org/resource/Giovanni_Alfonso_Borelli",1608-01-28
"http://dbpedia.org/resource/Honoré_Fabri",1608-04-15
"http://dbpedia.org/resource/John_Pell_(mathematician)",1611-03-01
"http://dbpedia.org/resource/Thomas_Bartholin",1616-10-20
"http://dbpedia.org/resource/Francesco_Maria_Grimaldi",1618-04-02
"http://dbpedia.org/resource/Michelangelo_Ricci",1619-01-30
"http://dbpedia.org/resource/Magnus_Celsius",1621-01-16
"http://dbpedia.org/resource/Vincenzo_Viviani",1622-04-05
"http://dbpedia.org/resource/René-François_de_Sluse",1622-07-02
"http://dbpedia.org/resource/Blaise_Pascal",1623-06-19
"http://dbpedia.org/resource/Ferdinand_Verbiest",1623-10-09
"http://dbpedia.org/resource/Giovanni_Domenico_Cassini",1625-06-08
"http://dbpedia.org/resource/Erhard_Weigel",1625-12-16
"http://dbpedia.org/resource/Johannes_Hudde",1628-04-23
"http://dbpedia.org/resource/Christiaan_Huygens",1629-04-14
"http://dbpedia.org/resource/Richard_Towneley",1629-10-10
"http://dbpedia.org/resource/Samuel_von_Pufendorf",1632-01-08
"http://dbpedia.org/resource/Alessandro_Marchetti_(mathematician)",1633-03-17
"http://dbpedia.org/resource/Francis_Willughby",1635-11-22
"http://dbpedia.org/resource/Philippe_de_La_Hire",1640-03-18
"http://dbpedia.org/resource/Bernard_Lamy",1640-06-15
"http://dbpedia.org/resource/Jacques_Ozanam",1640-06-16
"http://dbpedia.org/resource/Otto_Mencke",1644-03-22
"http://dbpedia.org/resource/Eusebio_Kino",1645-08-10
"http://dbpedia.org/resource/Thomas_Pereira",1645-11-01
"http://dbpedia.org/resource/Gottfried_Wilhelm_Leibniz",1646-07-01
"http://dbpedia.org/resource/Giovanni_Ceva",1647-09-01
"http://dbpedia.org/resource/Tommaso_Ceva",1648-12-20
"http://dbpedia.org/resource/Ehrenfried_Walther_von_Tschirnhaus",1651-04-10
"http://dbpedia.org/resource/Michel_Rolle",1652-04-21
"http://dbpedia.org/resource/Nicolaas_Hartsoeker",1656-03-26
"http://dbpedia.org/resource/Jacob_Roggeveen",1659-02-01
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03
"http://dbpedia.org/resource/Thomas_Fantet_de_Lagny",1660-11-07
"http://dbpedia.org/resource/Nicolas_Fatio_de_Duillier",1664-02-26
"http://dbpedia.org/resource/Abraham_de_Moivre",1667-05-26
"http://dbpedia.org/resource/Johann_Bernoulli",1667-08-06
"http://dbpedia.org/resource/William_Whiston",1667-12-09
"http://dbpedia.org/resource/Maria_Margaretha_Kirch",1670-02-25
"http://dbpedia.org/resource/Eustachio_Manfredi",1674-09-20
"http://dbpedia.org/resource/Yves_Marie_André",1675-05-22
"http://dbpedia.org/resource/Jacopo_Riccati",1676-05-28
"http://dbpedia.org/resource/Pierre_Remond_de_Montmort",1678-10-27
"http://dbpedia.org/resource/Gabriele_Manfredi",1681-03-25
"http://dbpedia.org/resource/John_Hadley",1682-04-16
"http://dbpedia.org/resource/Roger_Cotes",1682-07-10
"http://dbpedia.org/resource/Brook_Taylor",1685-08-18
"http://dbpedia.org/resource/Robert_Simson",1687-10-14
"http://dbpedia.org/resource/Robert_Smith_(mathematician)",1689-10-16
"http://dbpedia.org/resource/Christian_Goldbach",1690-03-18
"http://dbpedia.org/resource/Alessandro_Galilei",1691-08-25
"http://dbpedia.org/resource/Christian_August_Hausen",1693-06-19
"http://dbpedia.org/resource/Daniel_Bernoulli",1700-02-08
"http://dbpedia.org/resource/Charles_Marie_de_La_Condamine",1701-01-28
"http://dbpedia.org/resource/William_Emerson_(mathematician)",1701-05-14
"http://dbpedia.org/resource/Gabriel_Cramer",1704-07-31
"http://dbpedia.org/resource/Pedro_Vicente_Maldonado",1704-11-24
"http://dbpedia.org/resource/Émilie_du_Châtelet",1706-12-17
"http://dbpedia.org/resource/Vincenzo_Riccati",1707-01-11
"http://dbpedia.org/resource/Leonhard_Euler",1707-04-15
"http://dbpedia.org/resource/Pietro_De_Martino",1707-05-31
"http://dbpedia.org/resource/Georges-Louis_Leclerc,_Comte_de_Buffon",1707-09-07
"http://dbpedia.org/resource/James_Short_(mathematician)",1710-06-21
"http://dbpedia.org/resource/Thomas_Simpson",1710-08-20
"http://dbpedia.org/resource/Johann_Samuel_König",1712-07-31
"http://dbpedia.org/resource/Jorge_Juan_y_Santacilia",1713-01-05
"http://dbpedia.org/resource/Alexis_Clairaut",1713-05-13
"http://dbpedia.org/resource/John_Winthrop_(educator)",1714-12-19
"http://dbpedia.org/resource/Claude_Adrien_Helvétius",1715-01-26
"http://dbpedia.org/resource/Leonardo_Ximenes",1716-12-27
"http://dbpedia.org/resource/Maria_Gaetana_Agnesi",1718-05-16
"http://dbpedia.org/resource/Abraham_Gotthelf_Kästner",1719-09-27
"http://dbpedia.org/resource/María_Andrea_Casamayor",1720-11-30
"http://dbpedia.org/resource/Tobias_Mayer",1723-02-17
"http://dbpedia.org/resource/Franz_Aepinus",1724-12-13
"http://dbpedia.org/resource/Jean-Étienne_Montucla",1725-09-05
"http://dbpedia.org/resource/August_Nathanael_Grischow",1726-09-29
"http://dbpedia.org/resource/Paolo_Frisi",1728-04-13
"http://dbpedia.org/resource/Johann_Heinrich_Lambert",1728-08-28
"http://dbpedia.org/resource/Étienne_Bézout",1730-03-31
"http://dbpedia.org/resource/Charles_Bossut",1730-08-11
"http://dbpedia.org/resource/Benjamin_Banneker",1731-11-09
"http://dbpedia.org/resource/José_Celestino_Mutis",1732-04-06
"http://dbpedia.org/resource/Émiland_Gauthey",1732-12-03
"http://dbpedia.org/resource/Wenceslaus_Johann_Gustav_Karsten",1732-12-15
"http://dbpedia.org/resource/Carsten_Niebuhr",1733-03-17
"http://dbpedia.org/resource/Jean-Charles_de_Borda",1733-05-04
"http://dbpedia.org/resource/Johann_Euler",1734-11-27
"http://dbpedia.org/resource/Jesse_Ramsden",1735-10-06
"http://dbpedia.org/resource/Antonio_Maria_Lorgna",1735-10-18
"http://dbpedia.org/resource/Gregorio_Fontana",1735-12-07
"http://dbpedia.org/resource/Joseph-Louis_Lagrange",1736-01-25
"http://dbpedia.org/resource/Jean_Sylvain_Bailly",1736-09-15
"http://dbpedia.org/resource/Nicolas_Vilant",1737-06-12
"http://dbpedia.org/resource/Charles_Hutton",1737-08-14
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23
"http://dbpedia.org/resource/Thomas_Knowlton",1740-11-22
"http://dbpedia.org/resource/Antonio_Ludeña",1740-12-23
"http://dbpedia.org/resource/Anders_Johan_Lexell",1740-12-24
"http://dbpedia.org/resource/Robert_Hamilton_(economist)",1743-06-11
"http://dbpedia.org/resource/Marquis_de_Condorcet",1743-09-17
"http://dbpedia.org/resource/Caspar_Wessel",1745-06-08
"http://dbpedia.org/resource/Gaspard_Monge",1746-05-09
"http://dbpedia.org/resource/William_Trail",1746-06-23
"http://dbpedia.org/resource/Jacques_Charles",1746-11-12
"http://dbpedia.org/resource/Aida_Yasuaki",1747-02-10
