"subject_uri","target","field","birthYear"
"http://dbpedia.org/resource/Qusta_ibn_Luqa","http://dbpedia.org/resource/Translator","Translator",820
"http://dbpedia.org/resource/Qusta_ibn_Luqa","http://dbpedia.org/resource/Scientist","Scientist",820
"http://dbpedia.org/resource/Qusta_ibn_Luqa","http://dbpedia.org/resource/Physician","Physician",820
"http://dbpedia.org/resource/Maslama_al-Majriti","http://dbpedia.org/resource/Chemist","Chemist",950
"http://dbpedia.org/resource/Maslama_al-Majriti","http://dbpedia.org/resource/Muslim","Muslim",950
"http://dbpedia.org/resource/Maslama_al-Majriti","http://dbpedia.org/resource/Mathematician","Mathematician",950
"http://dbpedia.org/resource/Maslama_al-Majriti","http://dbpedia.org/resource/Economist","Economist",950
"http://dbpedia.org/resource/Maslama_al-Majriti","http://dbpedia.org/resource/Scholar","Scholar",950
"http://dbpedia.org/resource/Maslama_al-Majriti","http://dbpedia.org/resource/Astronomer","Astronomer",950
"http://dbpedia.org/resource/Abu_Nasr_Mansur","http://dbpedia.org/resource/Astronomer","Astronomer",970
"http://dbpedia.org/resource/Abu_Nasr_Mansur","http://dbpedia.org/resource/Mathematician","Mathematician",970
"http://dbpedia.org/resource/Abu_Mansur_al-Baghdadi","http://dbpedia.org/resource/Mathematician","Mathematician",980
"http://dbpedia.org/resource/Brahmadeva","http://dbpedia.org/resource/Mathematician","Mathematician",1060
"http://dbpedia.org/resource/Michael_Scot","http://dbpedia.org/resource/Mathematics","Mathematics",1175
"http://dbpedia.org/resource/Michael_Scot","http://dbpedia.org/resource/Alchemy","Alchemy",1175
"http://dbpedia.org/resource/Michael_Scot","http://dbpedia.org/resource/Astrology","Astrology",1175
"http://dbpedia.org/resource/Guo_Shoujing","http://dbpedia.org/resource/Mathematics","Mathematics",1231
"http://dbpedia.org/resource/Guo_Shoujing","http://dbpedia.org/resource/Astronomy","Astronomy",1231
"http://dbpedia.org/resource/Maximus_Planudes","http://dbpedia.org/resource/Monk","Monk",1260
"http://dbpedia.org/resource/Maximus_Planudes","http://dbpedia.org/resource/Anthology","Anthology",1260
"http://dbpedia.org/resource/Maximus_Planudes","http://dbpedia.org/resource/Mathematician","Mathematician",1260
"http://dbpedia.org/resource/Maximus_Planudes","http://dbpedia.org/resource/Philologist","Philologist",1260
"http://dbpedia.org/resource/Maximus_Planudes","http://dbpedia.org/resource/Theology","Theology",1260
"http://dbpedia.org/resource/Ibn_al-Shatir","http://dbpedia.org/resource/Astronomer","Astronomer",1304
"http://dbpedia.org/resource/Ibn_al-Majdi","http://dbpedia.org/resource/Mathematician","Mathematician",1359
"http://dbpedia.org/resource/Ibn_al-Majdi","http://dbpedia.org/resource/Astronomer","Astronomer",1359
"http://dbpedia.org/resource/Johannes_von_Gmunden","http://dbpedia.org/resource/Astronomy","Astronomy",1380
