"p1","eff"
"http://dbpedia.org/ontology/wikiPageWikiLink",442234
"http://www.w3.org/1999/02/22-rdf-syntax-ns#type",307762
"http://www.w3.org/2002/07/owl#sameAs",228800
"http://purl.org/dc/terms/subject",103867
"http://dbpedia.org/property/wikiPageUsesTemplate",87117
"http://www.w3.org/2000/01/rdf-schema#label",78037
"http://dbpedia.org/ontology/abstract",77537
"http://www.w3.org/2000/01/rdf-schema#comment",77528
"http://dbpedia.org/ontology/wikiPageExternalLink",33191
"http://xmlns.com/foaf/0.1/isPrimaryTopicOf",10407
"http://dbpedia.org/ontology/wikiPageRevisionID",10407
"http://dbpedia.org/ontology/wikiPageLength",10407
"http://www.w3.org/ns/prov#wasDerivedFrom",10407
"http://dbpedia.org/ontology/wikiPageID",10407
"http://xmlns.com/foaf/0.1/depiction",9743
"http://purl.org/linguistics/gold/hypernym",9488
"http://dbpedia.org/ontology/birthPlace",9407
"http://dbpedia.org/property/birthPlace",9093
"http://dbpedia.org/property/knownFor",9016
"http://dbpedia.org/ontology/knownFor",8598
"http://schema.org/sameAs",7413
"http://dbpedia.org/property/almaMater",6876
"http://dbpedia.org/property/name",6787
"http://xmlns.com/foaf/0.1/name",6604
"http://dbpedia.org/ontology/almaMater",6414
"http://dbpedia.org/ontology/academicDiscipline",6217
"http://dbpedia.org/property/birthDate",6172
"http://dbpedia.org/property/doctoralStudents",6053
"http://dbpedia.org/ontology/thumbnail",5864
"http://dbpedia.org/ontology/birthDate",5531
"http://dbpedia.org/ontology/deathPlace",5431
"http://dbpedia.org/ontology/doctoralStudent",5412
"http://dbpedia.org/property/workplaces",5191
"http://dbpedia.org/property/deathPlace",5172
"http://dbpedia.org/ontology/institution",4717
"http://dbpedia.org/ontology/award",4706
"http://dbpedia.org/property/deathDate",4201
"http://dbpedia.org/property/nationality",4197
"http://dbpedia.org/property/doctoralAdvisor",4032
"http://dbpedia.org/property/fields",3839
"http://dbpedia.org/property/awards",3742
"http://dbpedia.org/ontology/deathDate",3595
"http://dbpedia.org/ontology/doctoralAdvisor",3578
"http://dbpedia.org/ontology/nationality",2774
"http://dbpedia.org/property/caption",2690
"http://dbpedia.org/property/field",2680
"http://dbpedia.org/ontology/occupation",2408
"http://dbpedia.org/property/prizes",1755
"http://dbpedia.org/property/occupation",1736
"http://dbpedia.org/property/workInstitutions",1595
"http://dbpedia.org/property/workInstitution",1448
"http://dbpedia.org/property/spouse",1319
"http://dbpedia.org/property/title",1290
"http://dbpedia.org/property/thesisTitle",1180
"http://dbpedia.org/property/imageSize",1172
"http://dbpedia.org/property/thesisYear",1139
"http://dbpedia.org/ontology/birthYear",988
"http://dbpedia.org/property/wordnet_type",956
"http://dbpedia.org/property/residence",860
"http://dbpedia.org/property/education",840
"http://dbpedia.org/property/influences",824
"http://dbpedia.org/property/birthName",804
"http://dbpedia.org/ontology/birthName",789
"http://dbpedia.org/property/notableStudents",756
"http://dbpedia.org/property/citizenship",740
"http://dbpedia.org/ontology/deathYear",732
"http://dbpedia.org/ontology/influencedBy",721
"http://dbpedia.org/ontology/residence",705
"http://dbpedia.org/property/id",703
"http://dbpedia.org/ontology/notableStudent",681
"http://dbpedia.org/property/influenced",679
"http://dbpedia.org/ontology/influenced",648
"http://dbpedia.org/property/children",635
"http://dbpedia.org/property/academicAdvisors",562
"http://dbpedia.org/property/years",541
"http://xmlns.com/foaf/0.1/homepage",516
"http://dbpedia.org/ontology/academicAdvisor",513
"http://dbpedia.org/property/date",491
"http://dbpedia.org/ontology/citizenship",447
"http://dbpedia.org/property/thesisUrl",420
"http://dbpedia.org/ontology/education",360
"http://dbpedia.org/ontology/termPeriod",341
"http://dbpedia.org/property/website",330
"http://dbpedia.org/property/termStart",315
"http://dbpedia.org/property/termEnd",295
"http://dbpedia.org/property/successor",275
"http://dbpedia.org/property/predecessor",274
"http://dbpedia.org/ontology/stateOfOrigin",272
"http://dbpedia.org/property/mainInterests",263
"http://dbpedia.org/property/office",252
"http://dbpedia.org/property/before",251
"http://dbpedia.org/property/after",245
"http://dbpedia.org/ontology/spouse",225
"http://dbpedia.org/property/notableIdeas",213
"http://dbpedia.org/property/url",208
"http://dbpedia.org/property/bot",193
"http://dbpedia.org/ontology/child",186
"http://dbpedia.org/property/last",174
"http://dbpedia.org/ontology/mainInterest",172
"http://dbpedia.org/property/first",171
"http://dbpedia.org/property/fixAttempted",171
"http://dbpedia.org/property/doctoralAdvisors",169
"http://dbpedia.org/property/restingPlace",169
"http://dbpedia.org/property/nativeName",166
"http://dbpedia.org/property/alt",163
"http://www.w3.org/2000/01/rdf-schema#seeAlso",162
"http://dbpedia.org/property/volume",154
"http://dbpedia.org/property/signature",152
"http://dbpedia.org/property/parents",146
"http://www.w3.org/2002/07/owl#differentFrom",146
"http://dbpedia.org/ontology/party",138
"http://dbpedia.org/ontology/notableIdea",137
"http://dbpedia.org/property/party",134
"http://dbpedia.org/property/otherNames",133
"http://dbpedia.org/property/honorificPrefix",125
"http://dbpedia.org/ontology/originalName",124
"http://dbpedia.org/property/profession",123
"http://dbpedia.org/property/nativeNameLang",121
"http://dbpedia.org/ontology/wikiPageRedirects",120
"http://dbpedia.org/ontology/profession",119
"http://dbpedia.org/property/schoolTradition",112
"http://dbpedia.org/property/footnotes",111
"http://dbpedia.org/property/relatives",110
"http://dbpedia.org/property/employer",108
"http://www.w3.org/2004/02/skos/core#exactMatch",107
"http://dbpedia.org/property/s",107
"http://dbpedia.org/ontology/employer",104
"http://dbpedia.org/property/votes",104
"http://dbpedia.org/property/p",95
"http://dbpedia.org/property/discipline",94
"http://dbpedia.org/property/wstitle",93
"http://dbpedia.org/property/notableWorks",89
"http://dbpedia.org/ontology/philosophicalSchool",87
"http://dbpedia.org/property/era",86
"http://dbpedia.org/property/width",82
"http://dbpedia.org/ontology/activeYearsStartYear",82
"http://dbpedia.org/ontology/alias",81
"http://dbpedia.org/property/text",80
"http://dbpedia.org/ontology/restingPlace",72
"http://dbpedia.org/property/honorificSuffix",72
"http://dbpedia.org/ontology/relative",70
"http://dbpedia.org/property/yearsActive",70
"http://dbpedia.org/property/image",70
"http://dbpedia.org/property/sname",69
"http://dbpedia.org/property/percentage",68
"http://dbpedia.org/property/order",68
"http://dbpedia.org/property/b",66
"http://dbpedia.org/property/v",65
"http://dbpedia.org/ontology/wikiPageDisambiguates",64
"http://dbpedia.org/property/wikt",64
