"subject_uri","subjectBirthDate","r_property","target"
"http://dbpedia.org/resource/Scipione_del_Ferro",1465-02-06,"almaMater","http://dbpedia.org/resource/University_of_Bologna"
"http://dbpedia.org/resource/Michael_Stifel",1487,"almaMater","http://dbpedia.org/resource/University_of_Wittenberg"
"http://dbpedia.org/resource/Justus_Velsius",1510,"almaMater","http://dbpedia.org/resource/Old_University_of_Leuven"
"http://dbpedia.org/resource/Erasmus_Reinhold",1511-10-22,"almaMater","http://dbpedia.org/resource/University_of_Wittenberg"
"http://dbpedia.org/resource/Erasmus_Reinhold",1511-10-22,"institution","http://dbpedia.org/resource/University_of_Wittenberg"
"http://dbpedia.org/resource/Georg_Joachim_Rheticus",1514-02-16,"almaMater","http://dbpedia.org/resource/University_of_Wittenberg"
"http://dbpedia.org/resource/Georg_Joachim_Rheticus",1514-02-16,"institution","http://dbpedia.org/resource/University_of_Leipzig"
"http://dbpedia.org/resource/Georg_Joachim_Rheticus",1514-02-16,"institution","http://dbpedia.org/resource/University_of_Wittenberg"
"http://dbpedia.org/resource/John_Dee",1527-07-13,"almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge"
"http://dbpedia.org/resource/John_Dee",1527-07-13,"almaMater","http://dbpedia.org/resource/Old_University_of_Leuven"
"http://dbpedia.org/resource/Christopher_Clavius",1538-03-25,"almaMater","http://dbpedia.org/resource/University_of_Coimbra"
"http://dbpedia.org/resource/Ludolph_van_Ceulen",1540-01-28,"institution","http://dbpedia.org/resource/Leiden_University"
"http://dbpedia.org/resource/Ostilio_Ricci",1540-09-27,"institution","http://dbpedia.org/resource/Accademia_delle_Arti_del_Disegno"
"http://dbpedia.org/resource/Simon_Stevin",1548,"almaMater","http://dbpedia.org/resource/Leiden_University"
"http://dbpedia.org/resource/John_Napier",1550-02-01,"almaMater","http://dbpedia.org/resource/University_of_St_Andrews"
"http://dbpedia.org/resource/Petrus_Ryff",1552-05-08,"institution","http://dbpedia.org/resource/University_of_Basel"
"http://dbpedia.org/resource/Robert_Hues",1553,"almaMater","http://dbpedia.org/resource/St_Mary_Hall,_Oxford"
"http://dbpedia.org/resource/Henry_Briggs_(mathematician)",1561-02-01,"almaMater","http://dbpedia.org/resource/St._John's_College,_Cambridge"
"http://dbpedia.org/resource/Adriaan_Metius",1571-12-09,"almaMater","http://dbpedia.org/resource/University_of_Franeker"
"http://dbpedia.org/resource/William_Oughtred",1574-03-05,"almaMater","http://dbpedia.org/resource/King's_College,_Cambridge"
"http://dbpedia.org/resource/Benedetto_Castelli",1578,"almaMater","http://dbpedia.org/resource/University_of_Padua"
"http://dbpedia.org/resource/Benedetto_Castelli",1578,"institution","http://dbpedia.org/resource/University_of_Pisa"
