"subject_uri","subjectBirthDate","birthPlace","birthPoint","r_property","organisation","orgPoint"
"http://dbpedia.org/resource/Scipione_del_Ferro",1465-02-06,"http://dbpedia.org/resource/Bologna","44.49388888888889 11.342777777777778","almaMater","http://dbpedia.org/resource/University_of_Bologna","44.49388888888889 11.342777777777778"
"http://dbpedia.org/resource/John_Dee",1527-07-13,"http://dbpedia.org/resource/Tower_(ward)","51.511 -0.077","almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge","52.20805555555555 0.11666666666666667"
"http://dbpedia.org/resource/Christopher_Clavius",1538-03-25,"http://dbpedia.org/resource/Bavaria","49.07861111111111 11.385555555555555","almaMater","http://dbpedia.org/resource/University_of_Coimbra","40.2074 -8.4265"
"http://dbpedia.org/resource/Christopher_Clavius",1538-03-25,"http://dbpedia.org/resource/Bamberg","49.89138888888889 10.886944444444444","almaMater","http://dbpedia.org/resource/University_of_Coimbra","40.2074 -8.4265"
"http://dbpedia.org/resource/Ostilio_Ricci",1540-09-27,"http://dbpedia.org/resource/Fermo","43.160833333333336 13.715833333333334","institution","http://dbpedia.org/resource/Accademia_delle_Arti_del_Disegno","43.77098 11.25485"
"http://dbpedia.org/resource/Petrus_Ryff",1552-05-08,"http://dbpedia.org/resource/Basel","47.554722222222225 7.5905555555555555","institution","http://dbpedia.org/resource/University_of_Basel","47.55861111111111 7.583333333333333"
"http://dbpedia.org/resource/Robert_Hues",1553,"http://dbpedia.org/resource/Little_Hereford","52.312 -2.657","almaMater","http://dbpedia.org/resource/St_Mary_Hall,_Oxford","51.7522 -1.2536"
"http://dbpedia.org/resource/William_Oughtred",1574-03-05,"http://dbpedia.org/resource/Eton,_Berkshire","51.4881 -0.6092","almaMater","http://dbpedia.org/resource/King's_College,_Cambridge","52.2043 0.1162"
"http://dbpedia.org/resource/Benedetto_Castelli",1578,"http://dbpedia.org/resource/Brescia","45.541666666666664 10.216666666666667","almaMater","http://dbpedia.org/resource/University_of_Padua","45.416666666666664 11.866666666666667"
"http://dbpedia.org/resource/Benedetto_Castelli",1578,"http://dbpedia.org/resource/Brescia","45.541666666666664 10.216666666666667","institution","http://dbpedia.org/resource/University_of_Pisa","43.71650833333333 10.398458333333334"
"http://dbpedia.org/resource/John_Bainbridge_(astronomer)",1582,"http://dbpedia.org/resource/Ashby-de-la-Zouch","52.746 -1.476","almaMater","http://dbpedia.org/resource/Emmanuel_College,_Cambridge","52.2037 0.1244"
"http://dbpedia.org/resource/Peter_Turner_(mathematician)",1586,"http://dbpedia.org/resource/London","51.507222222222225 -0.1275","almaMater","http://dbpedia.org/resource/University_of_Oxford","51.755 -1.255"
"http://dbpedia.org/resource/Bonaventura_Cavalieri",1598,"http://dbpedia.org/resource/Milan","45.466944444444444 9.19","almaMater","http://dbpedia.org/resource/University_of_Pisa","43.71650833333333 10.398458333333334"
"http://dbpedia.org/resource/Ovidio_Montalbani",1601-11-18,"http://dbpedia.org/resource/Bologna","44.49388888888889 11.342777777777778","almaMater","http://dbpedia.org/resource/University_of_Bologna","44.49388888888889 11.342777777777778"
"http://dbpedia.org/resource/John_Pell_(mathematician)",1611-03-01,"http://dbpedia.org/resource/Southwick,_West_Sussex","50.836 -0.239","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Domenico_Guglielmini",1655-09-27,"http://dbpedia.org/resource/Bologna","44.49388888888889 11.342777777777778","almaMater","http://dbpedia.org/resource/University_of_Bologna","44.49388888888889 11.342777777777778"
"http://dbpedia.org/resource/Domenico_Guglielmini",1655-09-27,"http://dbpedia.org/resource/Bologna","44.49388888888889 11.342777777777778","institution","http://dbpedia.org/resource/University_of_Bologna","44.49388888888889 11.342777777777778"
"http://dbpedia.org/resource/Domenico_Guglielmini",1655-09-27,"http://dbpedia.org/resource/Bologna","44.49388888888889 11.342777777777778","institution","http://dbpedia.org/resource/University_of_Padua","45.416666666666664 11.866666666666667"
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03,"http://dbpedia.org/resource/Aberdeen","57.15 -2.11","almaMater","http://dbpedia.org/resource/University_of_Aberdeen","57.165 -2.1"
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03,"http://dbpedia.org/resource/Aberdeen","57.15 -2.11","almaMater","http://dbpedia.org/resource/Marischal_College","57.1495 -2.0964"
"http://dbpedia.org/resource/John_Craig_(mathematician)",1663,"http://dbpedia.org/resource/Dumfries","55.07 -3.603","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","55.94738888888889 -3.1871944444444447"
"http://dbpedia.org/resource/William_Whiston",1667-12-09,"http://dbpedia.org/resource/Twycross","52.641 -1.503","institution","http://dbpedia.org/resource/Clare_College,_Cambridge","52.2052 0.115"
"http://dbpedia.org/resource/Jacopo_Riccati",1676-05-28,"http://dbpedia.org/resource/Venice","45.4375 12.335833333333333","almaMater","http://dbpedia.org/resource/University_of_Padua","45.416666666666664 11.866666666666667"
"http://dbpedia.org/resource/Roger_Cotes",1682-07-10,"http://dbpedia.org/resource/Burbage,_Leicestershire","52.5277 -1.3483","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Brook_Taylor",1685-08-18,"http://dbpedia.org/resource/Municipal_Borough_of_Edmonton","51.62 -0.07","almaMater","http://dbpedia.org/resource/St_John's_College,_Cambridge","52.20805555555555 0.11666666666666667"
"http://dbpedia.org/resource/Robert_Smith_(mathematician)",1689-10-16,"http://dbpedia.org/resource/Lea,_Lincolnshire","53.370056 -0.75492","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Robert_Smith_(mathematician)",1689-10-16,"http://dbpedia.org/resource/Lea,_Lincolnshire","53.370056 -0.75492","institution","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Leonhard_Euler",1707-04-15,"http://dbpedia.org/resource/Basel","47.554722222222225 7.5905555555555555","almaMater","http://dbpedia.org/resource/University_of_Basel","47.55861111111111 7.583333333333333"
"http://dbpedia.org/resource/Vincenzo_Riccati",1707-01-11,"http://dbpedia.org/resource/Castelfranco_Veneto","45.666666666666664 11.933333333333334","institution","http://dbpedia.org/resource/Pontifical_Gregorian_University","41.89888888888889 12.484722222222222"
"http://dbpedia.org/resource/James_Short_(mathematician)",1710-06-21,"http://dbpedia.org/resource/Edinburgh","55.95333333333333 -3.1891666666666665","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","55.94738888888889 -3.1871944444444447"
"http://dbpedia.org/resource/Stephen_Whisson",1710,"http://dbpedia.org/resource/Huntingdonshire","52.416666666666664 -0.25","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Stephen_Whisson",1710,"http://dbpedia.org/resource/St_Neots","52.228 -0.27","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Stephen_Whisson",1710,"http://dbpedia.org/resource/Huntingdonshire","52.416666666666664 -0.25","institution","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Stephen_Whisson",1710,"http://dbpedia.org/resource/St_Neots","52.228 -0.27","institution","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/John_Winthrop_(educator)",1714-12-19,"http://dbpedia.org/resource/Boston","42.360277777777775 -71.05777777777777","almaMater","http://dbpedia.org/resource/Harvard_University","42.37444444444444 -71.11694444444444"
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731,"http://dbpedia.org/resource/Westmorland","54.5 -2.5833333333333335","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731,"http://dbpedia.org/resource/Milnthorpe","54.227 -2.773","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731,"http://dbpedia.org/resource/Westmorland","54.5 -2.5833333333333335","institution","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Thomas_Postlethwaite",1731,"http://dbpedia.org/resource/Milnthorpe","54.227 -2.773","institution","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/José_Celestino_Mutis",1732-04-06,"http://dbpedia.org/resource/Andalusia","37.38333333333333 -5.983333333333333","almaMater","http://dbpedia.org/resource/University_of_Seville","37.3807579 -5.9912307"
"http://dbpedia.org/resource/José_Celestino_Mutis",1732-04-06,"http://dbpedia.org/resource/Cádiz","36.535 -6.2975","almaMater","http://dbpedia.org/resource/University_of_Seville","37.3807579 -5.9912307"
"http://dbpedia.org/resource/Wenceslaus_Johann_Gustav_Karsten",1732-12-15,"http://dbpedia.org/resource/Neubrandenburg","53.55694444444445 13.261111111111111","almaMater","http://dbpedia.org/resource/University_of_Rostock","54.07555555555555 12.103333333333333"
"http://dbpedia.org/resource/John_Dawson_(surgeon)",1734,"http://dbpedia.org/resource/Garsdale","54.301 -2.391","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","55.94738888888889 -3.1871944444444447"
"http://dbpedia.org/resource/Antonio_Maria_Lorgna",1735-10-18,"http://dbpedia.org/resource/Cerea","45.2 11.216666666666667","almaMater","http://dbpedia.org/resource/University_of_Padua","45.416666666666664 11.866666666666667"
"http://dbpedia.org/resource/Joseph-Louis_Lagrange",1736-01-25,"http://dbpedia.org/resource/Turin","45.079166666666666 7.676111111111111","almaMater","http://dbpedia.org/resource/University_of_Turin","45.06944444444444 7.688888888888889"
"http://dbpedia.org/resource/Israel_Lyons",1739,"http://dbpedia.org/resource/Cambridge","52.20527777777778 0.11916666666666667","almaMater","http://dbpedia.org/resource/Trinity_College,_Cambridge","52.207 0.1146"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"http://dbpedia.org/resource/Geneva","46.20166666666667 6.146944444444444","almaMater","http://dbpedia.org/resource/University_of_Basel","47.55861111111111 7.583333333333333"
"http://dbpedia.org/resource/Anders_Johan_Lexell",1740-12-24,"http://dbpedia.org/resource/Turku","60.45 22.266666666666666","institution","http://dbpedia.org/resource/Russian_Academy_of_Sciences","55.71083333333333 37.57805555555556"
"http://dbpedia.org/resource/Caspar_Wessel",1745-06-08,"http://dbpedia.org/resource/Vestby","59.575 10.731944444444444","almaMater","http://dbpedia.org/resource/University_of_Copenhagen","55.679722222222225 12.5725"
