"subject_uri","subjectBirthDate","birthPlace","birthPoint","r_property","organisation","orgPoint"
"http://dbpedia.org/resource/Ludolph_van_Ceulen",1540-01-28,"http://dbpedia.org/resource/Hildesheim","http://dbpedia.org/resource/http://dbpedia.org/resource/Germany","institution","http://dbpedia.org/resource/Leiden_University","http://dbpedia.org/resource/Netherlands"
"http://dbpedia.org/resource/Simon_Stevin",1548,"http://dbpedia.org/resource/Bruges","http://dbpedia.org/resource/Belgium","almaMater","http://dbpedia.org/resource/Leiden_University","http://dbpedia.org/resource/Netherlands"
"http://dbpedia.org/resource/Petrus_Ryff",1552-05-08,"http://dbpedia.org/resource/Basel","http://dbpedia.org/resource/Switzerland","institution","http://dbpedia.org/resource/University_of_Basel","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Benedetto_Castelli",1578,"http://dbpedia.org/resource/Brescia","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Padua","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Benedetto_Castelli",1578,"http://dbpedia.org/resource/Brescia","http://dbpedia.org/resource/Italy","institution","http://dbpedia.org/resource/University_of_Pisa","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Bonaventura_Cavalieri",1598,"http://dbpedia.org/resource/Milan","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Pisa","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Gilles_de_Roberval",1602-08-10,"http://dbpedia.org/resource/Roberval,_Oise","http://dbpedia.org/resource/France","institution","http://dbpedia.org/resource/University_of_Paris","http://dbpedia.org/resource/France"
"http://dbpedia.org/resource/Johannes_Hudde",1628-04-23,"http://dbpedia.org/resource/Amsterdam","http://dbpedia.org/resource/Netherlands","almaMater","http://dbpedia.org/resource/Leiden_University","http://dbpedia.org/resource/Netherlands"
"http://dbpedia.org/resource/David_Gregory_(mathematician)",1659-06-03,"http://dbpedia.org/resource/Aberdeen","http://dbpedia.org/resource/United_Kingdom","almaMater","http://dbpedia.org/resource/Marischal_College","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/John_Craig_(mathematician)",1663,"http://dbpedia.org/resource/Dumfries","http://dbpedia.org/resource/Scotland","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/John_Craig_(mathematician)",1663,"http://dbpedia.org/resource/Dumfries","http://dbpedia.org/resource/United_Kingdom","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/Nicolas_Fatio_de_Duillier",1664-02-26,"http://dbpedia.org/resource/Basel","http://dbpedia.org/resource/Switzerland","almaMater","http://dbpedia.org/resource/University_of_Geneva","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Jacopo_Riccati",1676-05-28,"http://dbpedia.org/resource/Venice","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Padua","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Gabriel_Cramer",1704-07-31,"http://dbpedia.org/resource/Geneva","http://dbpedia.org/resource/Switzerland","almaMater","http://dbpedia.org/resource/University_of_Geneva","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Leonhard_Euler",1707-04-15,"http://dbpedia.org/resource/Basel","http://dbpedia.org/resource/Switzerland","almaMater","http://dbpedia.org/resource/University_of_Basel","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/James_Short_(mathematician)",1710-06-21,"http://dbpedia.org/resource/Edinburgh","http://dbpedia.org/resource/United_Kingdom","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/John_Dawson_(surgeon)",1734,"http://dbpedia.org/resource/Garsdale","http://dbpedia.org/resource/United_Kingdom","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/John_Dawson_(surgeon)",1734,"http://dbpedia.org/resource/Garsdale","http://dbpedia.org/resource/Cumbria","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/Antonio_Maria_Lorgna",1735-10-18,"http://dbpedia.org/resource/Cerea","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Padua","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Joseph-Louis_Lagrange",1736-01-25,"http://dbpedia.org/resource/Turin","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Turin","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"http://dbpedia.org/resource/Geneva","http://dbpedia.org/resource/Switzerland","almaMater","http://dbpedia.org/resource/University_of_Basel","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"http://dbpedia.org/resource/Geneva","http://dbpedia.org/resource/Switzerland","almaMater","http://dbpedia.org/resource/University_of_Geneva","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Jacques-André_Mallet",1740-09-23,"http://dbpedia.org/resource/Geneva","http://dbpedia.org/resource/Switzerland","institution","http://dbpedia.org/resource/University_of_Geneva","http://dbpedia.org/resource/Switzerland"
"http://dbpedia.org/resource/Pietro_Cossali",1748-06-29,"http://dbpedia.org/resource/Verona","http://dbpedia.org/resource/Italy","institution","http://dbpedia.org/resource/University_of_Padua","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Pietro_Cossali",1748-06-29,"http://dbpedia.org/resource/Verona","http://dbpedia.org/resource/Italy","institution","http://dbpedia.org/resource/University_of_Parma","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Pietro_Paoli",1759-03-02,"http://dbpedia.org/resource/Livorno","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Pisa","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Vincenzo_Brunacci",1768-03-03,"http://dbpedia.org/resource/Florence","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Pisa","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Ferdinand_Karl_Schweikart",1780-02-28,"http://dbpedia.org/resource/Erbach_im_Odenwald","http://dbpedia.org/resource/http://dbpedia.org/resource/Germany","almaMater","http://dbpedia.org/resource/University_of_Marburg","http://dbpedia.org/resource/Germany"
"http://dbpedia.org/resource/Ferdinand_Karl_Schweikart",1780-02-28,"http://dbpedia.org/resource/Hesse","http://dbpedia.org/resource/Germany","almaMater","http://dbpedia.org/resource/University_of_Marburg","http://dbpedia.org/resource/Germany"
"http://dbpedia.org/resource/David_Brewster",1781-12-11,"http://dbpedia.org/resource/Roxburghshire","http://dbpedia.org/resource/Scotland","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"http://dbpedia.org/resource/Horšovský_Týn","http://dbpedia.org/resource/Czechia","almaMater","http://dbpedia.org/resource/Charles_University","http://dbpedia.org/resource/Czech_Republic"
"http://dbpedia.org/resource/David_Brewster",1781-12-11,"http://dbpedia.org/resource/Jedburgh","http://dbpedia.org/resource/United_Kingdom","almaMater","http://dbpedia.org/resource/University_of_Edinburgh","http://dbpedia.org/resource/Scotland"
"http://dbpedia.org/resource/Joseph_Johann_von_Littrow",1781-03-13,"http://dbpedia.org/resource/Horšovský_Týn","http://dbpedia.org/resource/Czechia","institution","http://dbpedia.org/resource/University_of_Vienna","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Pierre-Dominique_Bazaine",1786-01-13,"http://dbpedia.org/resource/Scy-Chazelles","http://dbpedia.org/resource/France","institution","http://dbpedia.org/resource/French_Army","http://dbpedia.org/resource/France"
"http://dbpedia.org/resource/Antonio_Maria_Bordoni",1788-07-19,"http://dbpedia.org/resource/Cava_Manara","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Pavia","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Myrtil_Maas",1792,"http://dbpedia.org/resource/Tomblaine","http://dbpedia.org/resource/France","almaMater","http://dbpedia.org/resource/École_normale_supérieure_(Paris)","http://dbpedia.org/resource/France"
"http://dbpedia.org/resource/Gabrio_Piola",1794-07-15,"http://dbpedia.org/resource/Milan","http://dbpedia.org/resource/Italy","almaMater","http://dbpedia.org/resource/University_of_Pavia","http://dbpedia.org/resource/Italy"
"http://dbpedia.org/resource/Olinde_Rodrigues",1795-10-06,"http://dbpedia.org/resource/Bordeaux","http://dbpedia.org/resource/France","almaMater","http://dbpedia.org/resource/University_of_Paris","http://dbpedia.org/resource/France"
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25,"http://dbpedia.org/resource/Heidelberg","http://dbpedia.org/resource/http://dbpedia.org/resource/Germany","almaMater","http://dbpedia.org/resource/University_of_Vienna","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Nikolai_Brashman",1796-06-14,"http://dbpedia.org/resource/Rousínov","http://dbpedia.org/resource/Czechia","almaMater","http://dbpedia.org/resource/University_of_Vienna","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Andreas_von_Ettingshausen",1796-11-25,"http://dbpedia.org/resource/Heidelberg","http://dbpedia.org/resource/http://dbpedia.org/resource/Germany","institution","http://dbpedia.org/resource/University_of_Vienna","http://dbpedia.org/resource/Austria"
"http://dbpedia.org/resource/Antoine_Augustin_Cournot",1801-08-28,"http://dbpedia.org/resource/Gray,_Haute-Saône","http://dbpedia.org/resource/France","almaMater","http://dbpedia.org/resource/Sorbonne_University","http://dbpedia.org/resource/France"
